source	target	refs	use_shape	fix_shape	missing_capability	prerequisite	behaviour_delta	decision_needed	effort
sovereign-daemon	commonwealth-core	422	type-only	leaf-extract	shared leaf for cmnwlth substrate vocabulary (ids/NodeId, knowledge/WorkUnit+LEASE_MS, mesh/NodeStatus, partition, contributions/LedgerEvent, model, clock); no single module — spread across src/daemon.rs:15, src/state.rs, src/routes_internal/corpus_queue.rs	operator promotion of commonwealth-core (or a vocabulary subset) into the global [[package_leaf]] set	none	Does commonwealth-core (cmnwlth's own substrate crate; NodeId/WorkUnit vocabulary) become a global shared leaf, or must svrn's daemon dial cw-rails for membership and work state?	L
sovereign-daemon	sovereign-mesh	250	mixed	wire	cw-rails must own and expose the fabric verbs the daemon calls in-process (fabric::FabricPart::forget_member src/roster_repair.rs:90, ring_roster::roster_names src/routes_internal/ring_sync.rs:218, canonical_pull src/auto_ingest.rs:354, rail_kv_pump, guest_source, mesh_discovery, iroh_access src/media_presence.rs:27); cw-rails/api.rs today serves only /v1/mesh/{status,media,app,fanout,publish}	define cw-rails' full membership/roster/ring-sync surface and co-launch it with the daemon	mesh state served by cw-rails (one extra hop); mesh admin verbs fail if cw-rails is down — it becomes a required service	Is cw-rails the single mesh owner the daemon dials (and always co-launched), or does sovereign-mesh remain embedded cmnwlth substrate the daemon may link?	L
sovereign-daemon	corpus-engine	179	mixed	leaf-extract	atlas READER leaf for corpus_engine::enrichment (read_or_compute_atlas_summary src/routes_internal/corpus_ingest.rs:84, EnrichmentStateFile src/lc_http.rs:583, atlas writer src/newsworthy_host.rs:501); plus an ingest-run dialect for in-process CorpusEngine construction (src/ingest_executor.rs:88, src/newsworthy_host.rs:490)	§11 atlas reader-leaf host decision must land	atlas reads still work via the leaf; ingest runs in the ingest program	Atlas read surface: a new thin reader leaf, widen understanding-vocab, or lift from understanding-atlas?	L
sovereign-daemon	commonwealth-transport	116	mixed	leaf-extract	transport vocabulary leaf (PeerContact, TrafficClass src/daemon.rs:426, PeerEndpoint, mesh_proof::MeshProofStamp src/mesh_proof_outbound.rs:14, identity::* src/routes_internal/client_token.rs:65, iroh ALPNs) plus the PeerTransport trait src/routes_knowledge.rs:447 as the injectable port	confirm transport's closure is leaf-shaped (no commonwealth-core reach) or split the vocabulary out	none	Is commonwealth-transport shared dial infrastructure every program may link (a leaf), or cmnwlth-only, forcing svrn to dial through oicp-client?	L
sovereign-daemon	commonwealth-state	89	mixed	port	StateStore/replicated-KV port in sovereign-contracts (mirroring RecipeNotes); concrete MeshStore construction moved to a composition root (src/daemon.rs:3036 MeshStore::in_memory, src/state/store.rs:23 InferenceStateStore)	the port trait; and a PERSISTENT store decision — the wire probe was reverted because the daemon's MeshStore is in_memory()	none if persistence preserved; portfolio/contribution history must survive restart	Which program owns the replicated KV on disk, and does the daemon dial it instead of holding an in-memory MeshStore?	M
sovereign-daemon	sovereign-grants	80	mixed	wire	grant/shard/queue HTTP dialect (admit, try_recover_stranded_partitions src/routes_internal/corpus_collaborate.rs:391, merge_from_fold_coverage src/auto_ingest.rs:268, evict_partition_dir src/routes_internal/corpus_queue.rs:762, verify_merge_sample)	decide which process owns the corpus-queue routes (ingest work mounted in the daemon today)	same decider answers; queue verbs fail without the owning process	Does the shard/grant/queue decider move to its owning process and the daemon dial it, or is it ported into a leaf?	L
sovereign-daemon	commonwealth-rail	51	mixed	leaf-extract	commonwealth-rail-core wire-type leaf (RailAct/Admission/Roster/Payload) and cw-rails serving /v1/rail/{log,append,live}; dominant use src/routes_rail.rs:35 admit, src/routes_internal/ring_sync.rs:137	commonwealth-rail-core split (§11: peer-wire is blocked on exactly this)	none	none	M
sovereign-daemon	sovereign-serving-host	51	mixed	port	serving-host port leaf (VenueHost trait src/venue_host.rs:18, AttachedPrincipal src/routes_ollama.rs:230, SlotManifest src/slot_manifest.rs:16, state::* src/state/serving.rs:15) and the /v1 serving dial; daemon hosts admission+venue routing in-process	the cmnwlth serving-cluster process boundary must own inference routing	inference routes through the cmnwlth serving host (one hop); a daemon alone serves no model	Is inference serving a separate process the daemon dials (per §2), or does the daemon embed the serving host?	L
sovereign-daemon	commonwealth-work	46	mixed	leaf-extract	work-MODEL leaf (act/projection/refusal/executor/sandbox vocabulary: WorkAct, lease_state, may_take, Sandbox, ProcessExecutor src/work_donor.rs:80-90, src/ingest_executor.rs:84) OR a daemon wire dialect exposing the donor's work acts	none for the wire shape (daemon already mounts /v1/rail); the leaf shape needs the operator to accept widening every package	none	Does cmnwlth's work MODEL become a shared leaf (widening every package), or does the daemon expose its donor over the wire while the model stays cmnwlth's?	L
sovereign-daemon	sovereign-inference	42	embed-construction	wire	rpc-worker/llama-log/hardware-detect/capacity/engine-factory dial; daemon builds EmbeddedLlamaCpp in-process (src/bootstrap.rs:25, src/build/inference.rs:47, src/build/preflight.rs:118, src/rpc_warm_http.rs:30)	the cmnwlth serving-cluster process boundary must own engine construction	inference runs in the serving process/child; a daemon without it serves no model	none	L
sovereign-daemon	corpus-engine-watchers	41	embed-construction	port	watcher/reindexer port trait (start/stop/status, lint+test result stores) in a leaf; daemon constructs Reindexer/Registry (src/bootstrap.rs:1955-2028) and is a second owner (src/watcher_supervisor.rs:30)	none	none if proxied to the code program; watchers stop without it	Does the daemon own the watcher runtime (edge grandfathered), or does code own it and the daemon dial?	L
sovereign-daemon	sovereign-meshapp-registry	40	mixed	port	app-registry/manifest HTTP dialect (list + proxy forward, src/routes_apps.rs:132); MeshAppManifest src/routes_apps.rs:17 as a DTO leaf; AppRegistry src/state.rs:18 constructed in-process	none	none	none	M
sovereign-daemon	sovereign-meshapp	35	route-handler	port	meshapp READ port trait or HTTP dialect (load_graph src/meshapp_http.rs:560, graph_nodes :179, parcels::* :477, claims/timeline); the whole src/meshapp_http.rs reads the graph from disk in-process	none	none if the same graph is read; routes fail without the owning process	none	M
sovereign-daemon	sovereign-code	34	embed-construction	structural	the code program's tool/MCP server the daemon proxies (it already mounts /mcp, daemon.rs:3753); src/tool_registry.rs:38-328 constructs 20+ sovereign_code tools (SymbolLookupTool:68, FindCallersTool:88, BlastRadiusTool:104, DriftFindingsTool:218)	the code program's MCP surface must exist	MCP code tools keep working via proxy; they stop if the code process is not running	none	M
sovereign-daemon	commonwealth-media	33	mixed	wire	nothing new at the route level — cw-rails already serves /v1/mesh/media, /v1/mesh/media/fanout, /v1/mesh/publish; daemon's routes must become client stubs (src/media_presence.rs:109, src/publish_http.rs:33, src/media_reach.rs:44, src/origin_fanout.rs:50)	repoint daemon's media_presence/media_reach/origin_fanout/publish routes to cw-rails	media presence/fanout served by cw-rails; cw-rails required	none	M
sovereign-daemon	sovereign-work-atlas	27	embed-construction	structural	package placement; if code, a claim-store port or MCP dial (WorkAtlasStore src/bootstrap.rs:2365, DeclareScopeTool src/tool_registry.rs:153, ClaimBroadcaster src/work_atlas_broadcaster.rs:53)	§11: decide after phase 1 re-measures it	declare_scope/work_in_flight (AGENTS.md pre-flight) keep working via code, or disappear if deleted	Does sovereign-work-atlas belong to code (daemon dials its MCP tools) or is it inventory to delete, as atos was?	M
sovereign-daemon	sovereign-compute	25	embed-construction	exec	the compute supervisor's process boundary (who spawns the supervised child); bin already execs sovereign_compute::child_main::run for child mode (src/bin/sovereign-daemon.rs:59); manager embedded at src/bootstrap.rs:564-1013	the serving-cluster process boundary	child slots managed by the cmnwlth serving process; a daemon alone cannot spawn compute children	none	M
sovereign-daemon	code-next-edit	23	route-handler	port	the code program serving the edit-prediction route, or a next-edit port; src/routes_edit_predictions.rs runs next_edit/next_edit_model/next_edit_symbols in-process (:29-32, :226, :549)	none	edit predictions served by the code process; route fails without it	none	M
sovereign-daemon	corpus-engine-notes	21	embed-construction	leaf-extract	the AgentNotes port extended with the 8 types it deliberately omits (EmbedFn src/bootstrap.rs:154, GlinerFn :181, PropagationSinkFn :1369, NodeRoster, RosterEntry, NotePropagationEvent, ProjectDocsStore, decision_extractor) plus a construction factory	those types must move into sovereign-contracts / a notes leaf	none	Does note-store construction move out of the daemon (code-package factory, trading svrn→code), or does the daemon keep it as §11 says it is the right owner?	M
sovereign-daemon	commonwealth-discovery	14	mixed	leaf-extract	join-key validation leaf (below the contract seam) and a cw-rails mdns/hardware read; daemon uses membership::hash_join_key src/daemon.rs:2163, mdns::MdnsDiscovery :17, hardware::read_disk_free_bytes src/routes_internal/mesh_admin.rs:577	extract validate_join_key_format (pure) from commonwealth-discovery::membership (§11 probe)	none	none	M
sovereign-daemon	sovereign-gliner	11	mixed	port	gliner model download/probe route and extractor factory; LabeledEntityExtractor trait already exists (src/bootstrap.rs:94) but src/assets_http.rs:182-419 calls configured_model_id/probe_model_available/download_model and src/bootstrap.rs:100 load_gliner_extractor	none	model install/list served by the ingest program; identical UI	none	S
sovereign-daemon	sovereign-pods	10	embed-construction	exec	a pods worker binary owning worker mode; src/worker.rs:33-134 binds worker_daemon/worker_http/worker_subprocess_runner inside the daemon	none	pod worker spawned as its own binary; byte-identical worker protocol	none	S
sovereign-daemon	sovereign-runtime-recipe	10	embed-construction	port	a runtime-commission port (or the recipe runner's process); src/daemon_cmd/mod.rs:939-1069 names common_parts/RecipeInputs/baseline_bundles/commission	none	none	none	S
